,Variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max,percent_empty
147,PCT25_EARN_WNE_P6,16543,2158,17800,197,,,,,,,,65.87453844091013
148,PCT25_EARN_WNE_P8,14738,2149,27400,167,,,,,,,,69.59795366875012
149,PCT75_EARN_WNE_P10,12904,2589,79600,86,,,,,,,,73.38119108030612
150,PCT75_EARN_WNE_P6,16548,2482,48600,132,,,,,,,,65.86422427130391
151,PCT75_EARN_WNE_P8,14750,2552,66200,96,,,,,,,,69.57319966169524
152,PREDDEG,48477,1,Predominantly bachelor's-degree granting,48477,,,,,,,,0.0
153,REGION,48477,10,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",11306,,,,,,,,0.0
154,REGION,48477,10,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",11306,,,,,,,,0.0
155,RELAFFIL,733,57,Roman Catholic,199,,,,,,,,98.48794273573034
156,SCH_DEG,42415.0,,,,2.981704585641872,0.15429919501397174,1.0,3.0,3.0,3.0,3.0,12.504899230562948
157,STABBR,48477,54,NY,4091,,,,,,,,0.0
158,ST_FIPS,48477,54,New York,4091,,,,,,,,0.0
159,TRIBAL,2041,2,No,2040,,,,,,,,95.78975596674711
160,UGDS,46435.0,,,,3990.5855281576396,6513.252034388636,0.0,662.0,1656.0,4262.0,241832.0,4.212306867174121
161,UGDS_2MOR,25238.0,,,,0.022003268880259892,0.025587333865208516,0.0,0.0,0.018,0.0331,0.5333,47.93819749571961
162,UGDS_AIAN,25238.0,,,,0.006508352484348937,0.028251644655413802,0.0,0.0,0.0025,0.0056,1.0,47.93819749571961
163,UGDS_ASIAN,25238.0,,,,0.03556468816863442,0.06290634295455778,0.0,0.0034,0.0148,0.0382,1.0,47.93819749571961
164,UGDS_BLACK,25238.0,,,,0.12648805769078425,0.19098787415404594,0.0,0.0185,0.0596,0.1417,1.0,47.93819749571961
165,UGDS_HISP,25238.0,,,,0.10374201996988633,0.16764155093681257,0.0,0.0187,0.0525,0.1133,1.0,47.93819749571961
166,UGDS_MEN,46435.0,,,,0.4424776569398062,0.17591947873142566,0.0,0.3684,0.4318,0.4977,1.0,4.212306867174121
167,UGDS_NHPI,25238.0,,,,0.003252464537602037,0.0239085646485471,0.0,0.0,0.0006,0.0021,0.9538,47.93819749571961
168,UGDS_NRA,46435.0,,,,0.0343992354904708,0.06647961917249387,0.0,0.0044,0.0159,0.0385,1.0,4.212306867174121
169,UGDS_UNKN,46435.0,,,,0.060366178529127006,0.1010616994618014,0.0,0.0021,0.0253,0.0729,1.0,4.212306867174121
170,UGDS_WHITE,25238.0,,,,0.49280625247642545,0.30864002284448283,0.0,0.220525,0.57625,0.748,1.0,47.93819749571961
171,UGDS_WOMEN,46435.0,,,,0.555799674814264,0.17647355581817895,0.0,0.5017,0.5679,0.6309,1.0,4.212306867174121
172,UNITID,48477.0,,,,209813.7910968088,90140.50497512308,100654.0,154518.0,192925.0,224226.0,494807.0,0.0
173,WOMENONLY,2041,2,No,2007,,,,,,,,95.78975596674711
174,ZIP,48477,2224,02115,236,,,,,,,,0.0
